MH,Data
STD,20.114
STD,17.751
STD,18.599
STD,9.297
STD,9.075
STD,9.194
STD,9.031
STD,9.107
STD,9.322
STD,9.052
STD,9.088
STD,9.105
STD,9.126
STD,9.381
STD,9.172
STD,9.204
STD,9.071
STD,9.138
STD,9.372
STD,9.148
STD,9.192
STD,9.14
STD,9.12
STD,9.16
STD,9.319
STD,9.242
STD,9.116
STD,9.153
STD,9.14
STD,9.31
STD,9.108
STD_LOG,20.221
STD_LOG,17.893
STD_LOG,17.794
STD_LOG,9.086
STD_LOG,9.102
STD_LOG,9.075
STD_LOG,9.129
STD_LOG,9.225
STD_LOG,9.019
STD_LOG,9.093
STD_LOG,9.077
STD_LOG,9.114
STD_LOG,9.243
STD_LOG,9.007
STD_LOG,9.082
STD_LOG,9.024
STD_LOG,9.013
STD_LOG,9.228
STD_LOG,9.006
STD_LOG,9.041
STD_LOG,9.057
STD_LOG,9.047
STD_LOG,9.157
STD_LOG,9.049
STD_LOG,9.083
STD_LOG,9.095
STD_LOG,9.013
STD_LOG,9.221
STD_LOG,9.048
STD_LOG,9.055
STD_LOG,9.061
STD_PIECE,20.352
STD_PIECE,17.722
STD_PIECE,18.72
STD_PIECE,9.022
STD_PIECE,9.11
STD_PIECE,9.0
STD_PIECE,9.134
STD_PIECE,8.979
STD_PIECE,9.041
STD_PIECE,9.169
STD_PIECE,9.002
STD_PIECE,9.041
STD_PIECE,9.057
STD_PIECE,9.001
STD_PIECE,9.148
STD_PIECE,8.971
STD_PIECE,9.038
STD_PIECE,8.995
STD_PIECE,8.976
STD_PIECE,9.129
STD_PIECE,9.016
STD_PIECE,9.014
STD_PIECE,9.036
STD_PIECE,9.015
STD_PIECE,9.162
STD_PIECE,9.011
STD_PIECE,9.064
STD_PIECE,9.034
STD_PIECE,9.05
STD_PIECE,9.159
STD_PIECE,9.049
STD_SINE,19.51
STD_SINE,18.274
STD_SINE,17.985
STD_SINE,9.156
STD_SINE,9.131
STD_SINE,9.137
STD_SINE,9.236
STD_SINE,9.083
STD_SINE,9.132
STD_SINE,9.1
STD_SINE,9.12
STD_SINE,9.188
STD_SINE,9.113
STD_SINE,9.082
STD_SINE,9.143
STD_SINE,9.088
STD_SINE,9.226
STD_SINE,9.105
STD_SINE,9.139
STD_SINE,9.104
STD_SINE,9.152
STD_SINE,9.354
STD_SINE,9.173
STD_SINE,9.192
STD_SINE,9.236
STD_SINE,9.148
STD_SINE,9.26
STD_SINE,9.11
STD_SINE,9.135
STD_SINE,9.195
STD_SINE,9.115
STD_SINGER,18.461
STD_SINGER,16.927
STD_SINGER,17.901
STD_SINGER,8.702
STD_SINGER,8.6
STD_SINGER,8.722
STD_SINGER,8.611
STD_SINGER,8.597
STD_SINGER,8.711
STD_SINGER,8.588
STD_SINGER,8.65
STD_SINGER,8.666
STD_SINGER,8.65
STD_SINGER,8.825
STD_SINGER,8.569
STD_SINGER,8.61
STD_SINGER,8.633
STD_SINGER,8.589
STD_SINGER,8.725
STD_SINGER,8.594
STD_SINGER,8.662
STD_SINGER,8.634
STD_SINGER,8.64
STD_SINGER,8.706
STD_SINGER,8.54
STD_SINGER,8.602
STD_SINGER,8.628
STD_SINGER,8.676
STD_SINGER,8.723
STD_SINGER,8.612
STD_SINGER,8.621
STD_SINU,17.684
STD_SINU,16.243
STD_SINU,15.765
STD_SINU,7.883
STD_SINU,7.987
STD_SINU,8.065
STD_SINU,7.841
STD_SINU,8.006
STD_SINU,8.0
STD_SINU,8.038
STD_SINU,8.039
STD_SINU,7.942
STD_SINU,7.939
STD_SINU,8.033
STD_SINU,8.011
STD_SINU,8.051
STD_SINU,7.906
STD_SINU,7.915
STD_SINU,7.939
STD_SINU,7.937
STD_SINU,8.064
STD_SINU,7.85
STD_SINU,8.029
STD_SINU,7.958
STD_SINU,7.98
STD_SINU,8.095
STD_SINU,7.876
STD_SINU,7.864
STD_SINU,7.918
STD_SINU,7.913
STD_SINU,8.062
STD_TENT,20.48
STD_TENT,17.815
STD_TENT,19.135
STD_TENT,9.194
STD_TENT,9.134
STD_TENT,9.167
STD_TENT,9.216
STD_TENT,9.222
STD_TENT,9.141
STD_TENT,9.136
STD_TENT,9.13
STD_TENT,9.142
STD_TENT,9.239
STD_TENT,9.138
STD_TENT,9.231
STD_TENT,9.193
STD_TENT,9.127
STD_TENT,9.293
STD_TENT,9.11
STD_TENT,9.2
STD_TENT,9.148
STD_TENT,9.162
STD_TENT,9.28
STD_TENT,9.131
STD_TENT,9.116
STD_TENT,9.194
STD_TENT,9.256
STD_TENT,9.272
STD_TENT,9.136
STD_TENT,9.162
STD_TENT,9.24
STD_CIRCLE,20.218
STD_CIRCLE,19.631
STD_CIRCLE,19.397
STD_CIRCLE,9.534
STD_CIRCLE,9.544
STD_CIRCLE,9.362
STD_CIRCLE,9.389
STD_CIRCLE,9.425
STD_CIRCLE,9.403
STD_CIRCLE,9.532
STD_CIRCLE,9.398
STD_CIRCLE,9.473
STD_CIRCLE,9.425
STD_CIRCLE,9.422
STD_CIRCLE,9.563
STD_CIRCLE,9.41
STD_CIRCLE,9.484
STD_CIRCLE,9.47
STD_CIRCLE,9.453
STD_CIRCLE,9.529
STD_CIRCLE,9.351
STD_CIRCLE,9.352
STD_CIRCLE,9.378
STD_CIRCLE,9.392
STD_CIRCLE,9.491
STD_CIRCLE,9.294
STD_CIRCLE,9.327
STD_CIRCLE,9.392
STD_CIRCLE,9.497
STD_CIRCLE,9.529
STD_CIRCLE,9.403
COM,19.689
COM,19.131
COM,20.078
COM,9.351
COM,9.317
COM,9.335
COM,9.56
COM,9.294
COM,9.36
COM,9.426
COM,9.317
COM,9.533
COM,9.328
COM,9.347
COM,9.33
COM,9.289
COM,9.52
COM,9.33
COM,9.303
COM,9.319
COM,9.281
COM,9.535
COM,9.276
COM,9.253
COM,9.35
COM,9.395
COM,9.555
COM,9.282
COM,9.262
COM,9.398
COM,9.358
COM_LOG,17.759
COM_LOG,18.66
COM_LOG,18.417
COM_LOG,9.391
COM_LOG,9.258
COM_LOG,9.229
COM_LOG,9.214
COM_LOG,9.438
COM_LOG,9.394
COM_LOG,9.245
COM_LOG,9.249
COM_LOG,9.279
COM_LOG,9.28
COM_LOG,9.402
COM_LOG,9.226
COM_LOG,9.275
COM_LOG,9.322
COM_LOG,9.394
COM_LOG,9.365
COM_LOG,9.318
COM_LOG,9.312
COM_LOG,9.365
COM_LOG,9.437
COM_LOG,9.386
COM_LOG,9.267
COM_LOG,9.277
COM_LOG,9.238
COM_LOG,9.325
COM_LOG,9.414
COM_LOG,9.237
COM_LOG,9.241
COM_PIECE,16.431
COM_PIECE,18.2
COM_PIECE,19.57
COM_PIECE,9.226
COM_PIECE,9.358
COM_PIECE,9.408
COM_PIECE,9.255
COM_PIECE,9.279
COM_PIECE,9.269
COM_PIECE,9.336
COM_PIECE,9.373
COM_PIECE,9.194
COM_PIECE,9.245
COM_PIECE,9.313
COM_PIECE,9.29
COM_PIECE,9.418
COM_PIECE,9.243
COM_PIECE,9.284
COM_PIECE,9.359
COM_PIECE,9.343
COM_PIECE,9.391
COM_PIECE,9.259
COM_PIECE,9.266
COM_PIECE,9.306
COM_PIECE,9.347
COM_PIECE,9.246
COM_PIECE,9.41
COM_PIECE,9.245
COM_PIECE,9.246
COM_PIECE,9.329
COM_PIECE,9.26
COM_SINE,17.419
COM_SINE,19.333
COM_SINE,19.175
COM_SINE,9.58
COM_SINE,9.373
COM_SINE,9.423
COM_SINE,9.466
COM_SINE,9.405
COM_SINE,9.567
COM_SINE,9.414
COM_SINE,9.402
COM_SINE,9.449
COM_SINE,9.365
COM_SINE,9.504
COM_SINE,9.483
COM_SINE,9.363
COM_SINE,9.43
COM_SINE,9.44
COM_SINE,9.534
COM_SINE,9.415
COM_SINE,9.469
COM_SINE,9.461
COM_SINE,9.395
COM_SINE,9.587
COM_SINE,9.399
COM_SINE,9.503
COM_SINE,9.412
COM_SINE,9.385
COM_SINE,9.599
COM_SINE,9.392
COM_SINE,9.36
COM_SINGER,18.915
COM_SINGER,18.117
COM_SINGER,18.495
COM_SINGER,8.853
COM_SINGER,8.819
COM_SINGER,8.963
COM_SINGER,8.871
COM_SINGER,8.827
COM_SINGER,8.891
COM_SINGER,8.812
COM_SINGER,9.016
COM_SINGER,8.886
COM_SINGER,8.851
COM_SINGER,8.918
COM_SINGER,8.854
COM_SINGER,8.938
COM_SINGER,8.905
COM_SINGER,8.863
COM_SINGER,8.887
COM_SINGER,8.818
COM_SINGER,8.876
COM_SINGER,8.962
COM_SINGER,8.872
COM_SINGER,8.892
COM_SINGER,8.859
COM_SINGER,8.857
COM_SINGER,8.97
COM_SINGER,8.882
COM_SINGER,8.925
COM_SINGER,8.859
COM_SINGER,8.845
COM_SINU,17.532
COM_SINU,16.738
COM_SINU,16.572
COM_SINU,8.389
COM_SINU,8.356
COM_SINU,8.369
COM_SINU,8.245
COM_SINU,8.403
COM_SINU,8.244
COM_SINU,8.37
COM_SINU,8.445
COM_SINU,8.21
COM_SINU,8.378
COM_SINU,8.305
COM_SINU,8.29
COM_SINU,8.35
COM_SINU,8.24
COM_SINU,8.357
COM_SINU,8.299
COM_SINU,8.231
COM_SINU,8.314
COM_SINU,8.296
COM_SINU,8.406
COM_SINU,8.284
COM_SINU,8.312
COM_SINU,8.355
COM_SINU,8.272
COM_SINU,8.371
COM_SINU,8.285
COM_SINU,8.4
COM_SINU,8.395
COM_TENT,20.834
COM_TENT,19.299
COM_TENT,19.829
COM_TENT,9.39
COM_TENT,9.491
COM_TENT,9.427
COM_TENT,9.388
COM_TENT,9.496
COM_TENT,9.418
COM_TENT,9.512
COM_TENT,9.465
COM_TENT,9.494
COM_TENT,9.429
COM_TENT,9.394
COM_TENT,9.436
COM_TENT,9.536
COM_TENT,9.361
COM_TENT,9.441
COM_TENT,9.361
COM_TENT,9.448
COM_TENT,9.557
COM_TENT,9.464
COM_TENT,9.444
COM_TENT,9.397
COM_TENT,9.437
COM_TENT,9.504
COM_TENT,9.461
COM_TENT,9.464
COM_TENT,9.417
COM_TENT,9.405
COM_TENT,9.557
COM_CIRCLE,20.265
COM_CIRCLE,19.764
COM_CIRCLE,19.687
COM_CIRCLE,9.708
COM_CIRCLE,9.72
COM_CIRCLE,9.67
COM_CIRCLE,9.633
COM_CIRCLE,9.843
COM_CIRCLE,9.7
COM_CIRCLE,9.735
COM_CIRCLE,9.631
COM_CIRCLE,9.7
COM_CIRCLE,9.83
COM_CIRCLE,9.717
COM_CIRCLE,9.672
COM_CIRCLE,9.567
COM_CIRCLE,9.672
COM_CIRCLE,9.733
COM_CIRCLE,9.641
COM_CIRCLE,9.674
COM_CIRCLE,9.589
COM_CIRCLE,9.678
COM_CIRCLE,9.779
COM_CIRCLE,9.706
COM_CIRCLE,9.694
COM_CIRCLE,9.62
COM_CIRCLE,9.607
COM_CIRCLE,9.825
COM_CIRCLE,9.68
COM_CIRCLE,9.722
COM_CIRCLE,9.783
ELIT,16.569
ELIT,16.672
ELIT,16.877
ELIT,8.244
ELIT,8.312
ELIT,8.221
ELIT,8.106
ELIT,7.988
ELIT,8.291
ELIT,8.343
ELIT,8.217
ELIT,8.165
ELIT,8.007
ELIT,8.165
ELIT,8.121
ELIT,8.293
ELIT,8.119
ELIT,8.001
ELIT,8.192
ELIT,8.272
ELIT,8.413
ELIT,8.241
ELIT,7.991
ELIT,8.111
ELIT,8.23
ELIT,8.28
ELIT,8.24
ELIT,8.101
ELIT,8.224
ELIT,8.18
ELIT,8.287
ELIT_LOG,16.652
ELIT_LOG,16.902
ELIT_LOG,16.434
ELIT_LOG,8.218
ELIT_LOG,8.094
ELIT_LOG,8.224
ELIT_LOG,8.162
ELIT_LOG,8.193
ELIT_LOG,8.126
ELIT_LOG,7.998
ELIT_LOG,8.22
ELIT_LOG,8.115
ELIT_LOG,8.253
ELIT_LOG,8.114
ELIT_LOG,8.067
ELIT_LOG,8.14
ELIT_LOG,8.124
ELIT_LOG,8.178
ELIT_LOG,8.141
ELIT_LOG,7.968
ELIT_LOG,8.048
ELIT_LOG,8.069
ELIT_LOG,8.135
ELIT_LOG,8.204
ELIT_LOG,7.998
ELIT_LOG,8.104
ELIT_LOG,8.057
ELIT_LOG,8.197
ELIT_LOG,8.123
ELIT_LOG,8.011
ELIT_LOG,8.137
ELIT_PIECE,18.509
ELIT_PIECE,16.345
ELIT_PIECE,17.018
ELIT_PIECE,8.178
ELIT_PIECE,8.284
ELIT_PIECE,8.103
ELIT_PIECE,7.994
ELIT_PIECE,8.171
ELIT_PIECE,8.124
ELIT_PIECE,8.171
ELIT_PIECE,8.19
ELIT_PIECE,8.067
ELIT_PIECE,8.191
ELIT_PIECE,8.082
ELIT_PIECE,8.196
ELIT_PIECE,8.166
ELIT_PIECE,7.993
ELIT_PIECE,8.162
ELIT_PIECE,8.033
ELIT_PIECE,8.164
ELIT_PIECE,8.134
ELIT_PIECE,8.024
ELIT_PIECE,8.133
ELIT_PIECE,8.044
ELIT_PIECE,8.147
ELIT_PIECE,8.145
ELIT_PIECE,8.027
ELIT_PIECE,8.067
ELIT_PIECE,8.075
ELIT_PIECE,8.189
ELIT_PIECE,8.157
ELIT_SINE,17.244
ELIT_SINE,16.592
ELIT_SINE,16.393
ELIT_SINE,8.034
ELIT_SINE,8.174
ELIT_SINE,8.15
ELIT_SINE,8.227
ELIT_SINE,8.194
ELIT_SINE,8.092
ELIT_SINE,8.189
ELIT_SINE,8.141
ELIT_SINE,8.145
ELIT_SINE,8.155
ELIT_SINE,8.053
ELIT_SINE,8.169
ELIT_SINE,8.193
ELIT_SINE,8.173
ELIT_SINE,8.131
ELIT_SINE,8.056
ELIT_SINE,8.127
ELIT_SINE,8.112
ELIT_SINE,8.2
ELIT_SINE,8.224
ELIT_SINE,7.996
ELIT_SINE,8.101
ELIT_SINE,8.107
ELIT_SINE,8.223
ELIT_SINE,8.219
ELIT_SINE,8.039
ELIT_SINE,8.106
ELIT_SINE,8.105
ELIT_SINGER,17.804
ELIT_SINGER,16.248
ELIT_SINGER,16.834
ELIT_SINGER,8.177
ELIT_SINGER,8.121
ELIT_SINGER,7.979
ELIT_SINGER,8.145
ELIT_SINGER,8.139
ELIT_SINGER,8.157
ELIT_SINGER,8.07
ELIT_SINGER,8.055
ELIT_SINGER,8.094
ELIT_SINGER,8.123
ELIT_SINGER,8.178
ELIT_SINGER,8.126
ELIT_SINGER,7.992
ELIT_SINGER,8.078
ELIT_SINGER,7.971
ELIT_SINGER,8.186
ELIT_SINGER,8.124
ELIT_SINGER,8.022
ELIT_SINGER,8.068
ELIT_SINGER,8.059
ELIT_SINGER,8.152
ELIT_SINGER,8.146
ELIT_SINGER,8.011
ELIT_SINGER,8.069
ELIT_SINGER,8.021
ELIT_SINGER,8.164
ELIT_SINGER,8.133
ELIT_SINGER,8.018
ELIT_SINU,17.159
ELIT_SINU,16.654
ELIT_SINU,16.181
ELIT_SINU,8.223
ELIT_SINU,8.122
ELIT_SINU,8.28
ELIT_SINU,8.036
ELIT_SINU,8.187
ELIT_SINU,8.227
ELIT_SINU,8.184
ELIT_SINU,8.228
ELIT_SINU,8.237
ELIT_SINU,8.243
ELIT_SINU,8.157
ELIT_SINU,8.261
ELIT_SINU,8.226
ELIT_SINU,8.033
ELIT_SINU,8.214
ELIT_SINU,8.151
ELIT_SINU,8.12
ELIT_SINU,8.236
ELIT_SINU,8.033
ELIT_SINU,8.172
ELIT_SINU,8.13
ELIT_SINU,8.129
ELIT_SINU,8.278
ELIT_SINU,8.102
ELIT_SINU,8.228
ELIT_SINU,8.252
ELIT_SINU,8.123
ELIT_SINU,8.232
ELIT_TENT,17.814
ELIT_TENT,16.18
ELIT_TENT,17.202
ELIT_TENT,8.144
ELIT_TENT,8.341
ELIT_TENT,8.328
ELIT_TENT,8.231
ELIT_TENT,8.332
ELIT_TENT,8.158
ELIT_TENT,8.265
ELIT_TENT,8.286
ELIT_TENT,8.338
ELIT_TENT,8.336
ELIT_TENT,8.181
ELIT_TENT,8.322
ELIT_TENT,8.257
ELIT_TENT,8.186
ELIT_TENT,8.337
ELIT_TENT,8.214
ELIT_TENT,8.289
ELIT_TENT,8.249
ELIT_TENT,8.236
ELIT_TENT,8.273
ELIT_TENT,8.125
ELIT_TENT,8.279
ELIT_TENT,8.244
ELIT_TENT,8.203
ELIT_TENT,8.396
ELIT_TENT,8.189
ELIT_TENT,8.342
ELIT_TENT,8.289
ELIT_CIRCLE,17.792
ELIT_CIRCLE,16.534
ELIT_CIRCLE,16.191
ELIT_CIRCLE,8.213
ELIT_CIRCLE,8.117
ELIT_CIRCLE,8.32
ELIT_CIRCLE,8.202
ELIT_CIRCLE,8.227
ELIT_CIRCLE,8.192
ELIT_CIRCLE,8.09
ELIT_CIRCLE,8.369
ELIT_CIRCLE,8.263
ELIT_CIRCLE,8.191
ELIT_CIRCLE,8.181
ELIT_CIRCLE,8.101
ELIT_CIRCLE,8.234
ELIT_CIRCLE,8.241
ELIT_CIRCLE,8.196
ELIT_CIRCLE,8.209
ELIT_CIRCLE,8.106
ELIT_CIRCLE,8.258
ELIT_CIRCLE,8.244
ELIT_CIRCLE,8.152
ELIT_CIRCLE,8.157
ELIT_CIRCLE,8.127
ELIT_CIRCLE,8.227
ELIT_CIRCLE,8.296
ELIT_CIRCLE,8.213
ELIT_CIRCLE,8.233
ELIT_CIRCLE,8.015
ELIT_CIRCLE,8.185
