MH,Data
STD,10.516
STD,10.081
STD,10.439
STD,5.255
STD,5.28
STD,5.304
STD,5.273
STD,5.32
STD,5.282
STD,5.295
STD,5.291
STD,5.316
STD,5.265
STD,5.321
STD,5.367
STD,5.285
STD,5.348
STD,5.303
STD,5.319
STD,5.396
STD,5.297
STD,5.254
STD,5.357
STD,5.273
STD,5.31
STD,5.316
STD,5.316
STD,5.24
STD,5.305
STD,5.264
STD,5.277
STD_LOG,10.473
STD_LOG,9.996
STD_LOG,10.192
STD_LOG,5.339
STD_LOG,5.27
STD_LOG,5.264
STD_LOG,5.278
STD_LOG,5.284
STD_LOG,5.269
STD_LOG,5.269
STD_LOG,5.264
STD_LOG,5.311
STD_LOG,5.312
STD_LOG,5.309
STD_LOG,5.315
STD_LOG,5.305
STD_LOG,5.309
STD_LOG,5.27
STD_LOG,5.309
STD_LOG,5.255
STD_LOG,5.266
STD_LOG,5.273
STD_LOG,5.268
STD_LOG,5.272
STD_LOG,5.288
STD_LOG,5.286
STD_LOG,5.284
STD_LOG,5.331
STD_LOG,5.284
STD_LOG,5.342
STD_LOG,5.291
STD_PIECE,10.875
STD_PIECE,9.902
STD_PIECE,10.125
STD_PIECE,5.308
STD_PIECE,5.288
STD_PIECE,5.355
STD_PIECE,5.286
STD_PIECE,5.291
STD_PIECE,5.282
STD_PIECE,5.264
STD_PIECE,5.347
STD_PIECE,5.294
STD_PIECE,5.254
STD_PIECE,5.301
STD_PIECE,5.298
STD_PIECE,5.276
STD_PIECE,5.299
STD_PIECE,5.338
STD_PIECE,5.314
STD_PIECE,5.374
STD_PIECE,5.329
STD_PIECE,5.408
STD_PIECE,5.363
STD_PIECE,5.369
STD_PIECE,5.323
STD_PIECE,5.311
STD_PIECE,5.414
STD_PIECE,5.32
STD_PIECE,5.352
STD_PIECE,5.318
STD_PIECE,5.297
STD_SINE,11.005
STD_SINE,9.786
STD_SINE,9.842
STD_SINE,5.452
STD_SINE,5.38
STD_SINE,5.362
STD_SINE,5.372
