MH,Data
STD,11.167
STD,10.91
STD,11.399
STD,5.394
STD,5.431
STD,5.361
STD,5.463
STD,5.415
STD,5.407
STD,5.358
STD,5.646
STD,6.273
STD,6.355
STD,6.638
STD,6.337
STD,5.997
STD,5.945
STD,5.962
STD,5.955
STD,5.87
STD,5.901
STD,5.848
STD,5.86
STD,5.714
STD,6.015
STD,5.86
STD,6.001
STD,5.963
STD,5.881
STD,6.029
STD,6.153
STD_LOG,10.725
STD_LOG,10.99
STD_LOG,11.153
STD_LOG,6.014
STD_LOG,6.522
STD_LOG,6.368
STD_LOG,6.364
STD_LOG,6.3
STD_LOG,6.241
STD_LOG,6.425
STD_LOG,6.198
STD_LOG,6.427
STD_LOG,6.429
STD_LOG,6.167
STD_LOG,6.305
STD_LOG,6.257
STD_LOG,6.477
STD_LOG,6.427
STD_LOG,6.657
STD_LOG,6.334
STD_LOG,6.14
STD_LOG,6.24
STD_LOG,6.339
STD_LOG,6.436
STD_LOG,6.484
STD_LOG,6.467
STD_LOG,6.374
STD_LOG,6.184
STD_LOG,6.4
STD_LOG,6.307
STD_LOG,6.332
STD_PIECE,10.821
STD_PIECE,11.188
STD_PIECE,11.278
STD_PIECE,6.466
STD_PIECE,6.333
STD_PIECE,6.463
STD_PIECE,6.504
STD_PIECE,6.167
STD_PIECE,6.369
STD_PIECE,6.331
STD_PIECE,6.221
STD_PIECE,6.175
STD_PIECE,6.37
STD_PIECE,6.364
STD_PIECE,6.213
STD_PIECE,6.135
STD_PIECE,6.122
STD_PIECE,5.491
STD_PIECE,5.633
STD_PIECE,5.534
STD_PIECE,5.641
STD_PIECE,5.669
STD_PIECE,5.592
STD_PIECE,5.476
STD_PIECE,5.648
STD_PIECE,5.427
STD_PIECE,5.499
STD_PIECE,5.691
STD_PIECE,5.567
STD_PIECE,5.589
STD_PIECE,5.598
STD_SINE,11.5
STD_SINE,11.186
STD_SINE,11.279
STD_SINE,5.691
STD_SINE,5.782
STD_SINE,5.8
STD_SINE,5.76
STD_SINE,5.543
STD_SINE,5.603
STD_SINE,5.736
STD_SINE,5.552
STD_SINE,5.784
STD_SINE,5.796
STD_SINE,5.633
STD_SINE,5.655
STD_SINE,5.754
STD_SINE,5.665
STD_SINE,5.862
STD_SINE,5.782
STD_SINE,5.738
STD_SINE,5.673
STD_SINE,5.766
STD_SINE,5.766
STD_SINE,5.797
STD_SINE,5.768
STD_SINE,5.682
STD_SINE,5.832
STD_SINE,5.762
STD_SINE,5.912
STD_SINE,5.839
STD_SINE,5.853
STD_SINGER,10.268
STD_SINGER,10.71
STD_SINGER,11.004
STD_SINGER,5.369
STD_SINGER,5.321
STD_SINGER,5.304
STD_SINGER,5.372
STD_SINGER,5.358
STD_SINGER,5.409
STD_SINGER,5.322
STD_SINGER,5.361
STD_SINGER,5.382
STD_SINGER,5.408
STD_SINGER,5.369
STD_SINGER,5.323
STD_SINGER,5.35
STD_SINGER,5.324
STD_SINGER,5.358
STD_SINGER,5.361
STD_SINGER,5.362
STD_SINGER,5.358
STD_SINGER,5.339
STD_SINGER,5.318
STD_SINGER,5.33
STD_SINGER,5.343
STD_SINGER,5.359
STD_SINGER,5.363
STD_SINGER,5.344
STD_SINGER,5.321
STD_SINGER,5.335
STD_SINGER,5.351
STD_SINU,9.82
STD_SINU,9.995
STD_SINU,10.145
STD_SINU,5.262
STD_SINU,5.332
STD_SINU,5.282
STD_SINU,5.253
STD_SINU,5.271
STD_SINU,5.239
STD_SINU,5.263
STD_SINU,5.275
STD_SINU,5.248
STD_SINU,5.226
STD_SINU,5.226
STD_SINU,5.234
STD_SINU,5.257
STD_SINU,5.278
STD_SINU,5.271
STD_SINU,5.248
STD_SINU,5.268
STD_SINU,5.281
STD_SINU,5.242
STD_SINU,5.279
STD_SINU,5.229
STD_SINU,5.213
STD_SINU,5.273
STD_SINU,5.26
STD_SINU,5.249
STD_SINU,5.269
STD_SINU,5.29
STD_SINU,5.256
STD_TENT,10.916
STD_TENT,11.374
STD_TENT,11.739
STD_TENT,5.803
STD_TENT,5.77
STD_TENT,5.745
STD_TENT,5.865
STD_TENT,5.677
STD_TENT,5.694
STD_TENT,5.683
STD_TENT,5.724
STD_TENT,5.662
STD_TENT,5.704
STD_TENT,5.671
STD_TENT,5.746
STD_TENT,5.811
STD_TENT,5.852
STD_TENT,5.828
STD_TENT,5.831
STD_TENT,5.674
STD_TENT,5.645
STD_TENT,5.684
STD_TENT,5.774
STD_TENT,5.729
STD_TENT,5.769
STD_TENT,5.612
STD_TENT,5.695
STD_TENT,5.682
STD_TENT,5.781
STD_TENT,5.832
STD_TENT,5.774
STD_CIRCLE,11.344
STD_CIRCLE,11.329
STD_CIRCLE,11.633
STD_CIRCLE,6.112
STD_CIRCLE,6.201
STD_CIRCLE,6.175
STD_CIRCLE,6.28
STD_CIRCLE,6.306
STD_CIRCLE,6.28
STD_CIRCLE,6.065
STD_CIRCLE,6.16
STD_CIRCLE,6.069
STD_CIRCLE,6.235
STD_CIRCLE,6.156
STD_CIRCLE,6.335
STD_CIRCLE,6.012
STD_CIRCLE,6.179
STD_CIRCLE,6.209
STD_CIRCLE,6.223
STD_CIRCLE,6.219
STD_CIRCLE,6.208
STD_CIRCLE,5.977
STD_CIRCLE,6.115
STD_CIRCLE,6.134
STD_CIRCLE,6.263
STD_CIRCLE,6.316
STD_CIRCLE,6.196
STD_CIRCLE,6.207
STD_CIRCLE,6.125
STD_CIRCLE,6.16
STD_CIRCLE,6.356
COM,11.709
COM,11.61
COM,11.771
COM,6.101
COM,6.098
COM,6.053
COM,6.047
COM,6.042
COM,5.962
COM,6.2
COM,6.205
COM,5.895
COM,5.968
COM,5.948
COM,6.04
COM,6.011
COM,6.002
COM,6.006
COM,5.964
COM,6.031
COM,6.18
COM,6.092
COM,6.047
COM,6.122
COM,6.086
COM,6.114
COM,6.082
COM,6.012
COM,6.094
COM,5.934
COM,5.996
COM_LOG,11.131
COM_LOG,11.36
COM_LOG,11.555
COM_LOG,5.901
COM_LOG,6.036
COM_LOG,5.992
COM_LOG,5.976
COM_LOG,5.923
COM_LOG,5.925
COM_LOG,6.003
COM_LOG,6.067
COM_LOG,5.985
COM_LOG,5.996
COM_LOG,5.777
COM_LOG,5.951
COM_LOG,5.963
COM_LOG,5.914
COM_LOG,5.795
COM_LOG,5.948
COM_LOG,5.85
COM_LOG,5.827
COM_LOG,5.83
COM_LOG,6.022
COM_LOG,5.84
COM_LOG,5.903
COM_LOG,5.827
COM_LOG,5.855
COM_LOG,5.851
COM_LOG,5.957
COM_LOG,5.828
COM_LOG,5.893
COM_PIECE,11.155
COM_PIECE,11.639
COM_PIECE,11.599
COM_PIECE,5.938
COM_PIECE,5.894
COM_PIECE,5.913
COM_PIECE,6.159
COM_PIECE,6.079
COM_PIECE,6.198
COM_PIECE,5.921
COM_PIECE,6.021
COM_PIECE,5.943
COM_PIECE,6.004
COM_PIECE,5.79
COM_PIECE,5.938
COM_PIECE,5.704
COM_PIECE,5.989
COM_PIECE,5.942
COM_PIECE,6.257
COM_PIECE,6.1
COM_PIECE,6.153
COM_PIECE,6.048
COM_PIECE,5.921
COM_PIECE,6.15
COM_PIECE,6.241
COM_PIECE,6.155
COM_PIECE,6.149
COM_PIECE,6.048
COM_PIECE,5.997
COM_PIECE,6.003
COM_PIECE,6.009
COM_SINE,11.738
COM_SINE,11.509
COM_SINE,11.647
COM_SINE,6.194
COM_SINE,6.056
COM_SINE,6.209
COM_SINE,6.126
COM_SINE,6.246
COM_SINE,6.521
COM_SINE,6.284
COM_SINE,6.149
COM_SINE,6.319
COM_SINE,6.104
COM_SINE,6.184
COM_SINE,6.274
COM_SINE,6.264
COM_SINE,6.206
COM_SINE,6.322
COM_SINE,6.243
COM_SINE,6.157
COM_SINE,6.11
COM_SINE,6.287
COM_SINE,6.007
COM_SINE,6.281
COM_SINE,6.168
COM_SINE,6.127
COM_SINE,6.23
COM_SINE,6.318
COM_SINE,6.055
COM_SINE,6.249
COM_SINE,6.096
COM_SINGER,10.654
COM_SINGER,11.107
COM_SINGER,11.17
COM_SINGER,5.424
COM_SINGER,5.392
COM_SINGER,5.412
COM_SINGER,5.441
COM_SINGER,5.484
COM_SINGER,5.437
COM_SINGER,5.438
COM_SINGER,5.448
COM_SINGER,5.46
COM_SINGER,5.382
COM_SINGER,5.437
COM_SINGER,5.386
COM_SINGER,5.337
COM_SINGER,5.34
COM_SINGER,5.343
COM_SINGER,5.299
COM_SINGER,5.441
COM_SINGER,5.379
COM_SINGER,5.417
COM_SINGER,5.37
COM_SINGER,5.346
COM_SINGER,5.342
COM_SINGER,5.452
COM_SINGER,5.407
COM_SINGER,5.517
COM_SINGER,5.514
COM_SINGER,5.499
COM_SINGER,5.454
COM_SINU,10.308
COM_SINU,10.382
COM_SINU,10.405
COM_SINU,5.291
COM_SINU,5.261
COM_SINU,5.279
COM_SINU,5.251
COM_SINU,5.27
COM_SINU,5.271
COM_SINU,5.279
COM_SINU,5.334
COM_SINU,5.289
COM_SINU,5.302
COM_SINU,5.286
COM_SINU,5.283
COM_SINU,5.283
COM_SINU,5.245
COM_SINU,5.265
COM_SINU,5.22
COM_SINU,5.254
COM_SINU,5.335
COM_SINU,5.317
COM_SINU,5.287
COM_SINU,5.294
COM_SINU,5.283
COM_SINU,5.335
COM_SINU,5.262
COM_SINU,5.253
COM_SINU,5.306
COM_SINU,5.274
COM_SINU,5.308
COM_TENT,11.331
COM_TENT,11.626
COM_TENT,11.787
COM_TENT,5.908
COM_TENT,5.956
COM_TENT,5.916
COM_TENT,5.948
COM_TENT,6.109
COM_TENT,5.981
COM_TENT,5.979
COM_TENT,5.956
COM_TENT,5.939
COM_TENT,6.171
COM_TENT,5.923
COM_TENT,6.005
COM_TENT,6.164
COM_TENT,5.954
COM_TENT,6.097
COM_TENT,6.049
COM_TENT,6.068
COM_TENT,5.991
COM_TENT,5.943
COM_TENT,6.054
COM_TENT,5.947
COM_TENT,5.98
COM_TENT,6.035
COM_TENT,5.86
COM_TENT,6.161
COM_TENT,6.035
COM_TENT,6.155
COM_TENT,6.016
COM_CIRCLE,11.634
