MH,Data
STD,23.692
STD,20.695
STD,21.87
STD,10.992
STD,11.578
STD,10.97
STD,11.521
STD,11.076
STD,11.799
STD,11.212
STD,11.022
STD,11.741
STD,11.226
STD,11.183
STD,11.207
STD,12.147
STD,12.012
STD,11.263
STD,11.26
STD,12.021
STD,11.252
STD,11.842
STD,11.993
STD,11.354
STD,11.27
STD,12.218
STD,11.234
STD,11.87
STD,11.332
STD,12.119
STD,12.013
STD_LOG,23.706
STD_LOG,20.694
STD_LOG,20.979
STD_LOG,11.353
STD_LOG,11.42
STD_LOG,12.138
STD_LOG,11.836
STD_LOG,11.361
STD_LOG,11.825
STD_LOG,11.873
STD_LOG,12.043
STD_LOG,11.34
STD_LOG,11.595
STD_LOG,12.227
STD_LOG,11.668
STD_LOG,11.613
STD_LOG,11.637
STD_LOG,11.795
STD_LOG,12.037
STD_LOG,11.517
STD_LOG,11.367
STD_LOG,12.192
STD_LOG,12.048
STD_LOG,11.398
STD_LOG,11.508
STD_LOG,12.071
STD_LOG,11.89
STD_LOG,11.512
STD_LOG,11.443
STD_LOG,12.081
STD_LOG,11.834
STD_PIECE,23.004
STD_PIECE,21.612
STD_PIECE,22.63
STD_PIECE,11.349
STD_PIECE,11.64
STD_PIECE,11.831
STD_PIECE,11.945
STD_PIECE,11.571
STD_PIECE,11.466
STD_PIECE,12.178
STD_PIECE,12.059
STD_PIECE,11.591
STD_PIECE,11.461
STD_PIECE,11.886
STD_PIECE,11.941
STD_PIECE,11.598
STD_PIECE,11.416
STD_PIECE,12.073
STD_PIECE,11.844
STD_PIECE,11.663
STD_PIECE,11.639
STD_PIECE,12.007
STD_PIECE,11.933
STD_PIECE,11.724
STD_PIECE,11.36
STD_PIECE,12.226
STD_PIECE,11.977
STD_PIECE,11.379
STD_PIECE,11.391
STD_PIECE,11.826
STD_PIECE,12.101
STD_SINE,23.092
STD_SINE,22.426
STD_SINE,22.263
STD_SINE,11.699
STD_SINE,11.514
STD_SINE,12.287
STD_SINE,11.571
STD_SINE,12.14
STD_SINE,11.46
STD_SINE,12.212
STD_SINE,12.04
STD_SINE,11.501
STD_SINE,11.506
STD_SINE,11.568
STD_SINE,11.579
STD_SINE,12.431
STD_SINE,12.087
STD_SINE,11.939
STD_SINE,12.165
STD_SINE,11.585
STD_SINE,11.584
STD_SINE,11.582
STD_SINE,11.58
STD_SINE,12.302
STD_SINE,12.126
STD_SINE,11.958
STD_SINE,11.505
STD_SINE,12.265
STD_SINE,11.509
STD_SINE,11.621
STD_SINE,11.648
STD_SINGER,22.169
STD_SINGER,20.951
STD_SINGER,21.453
STD_SINGER,11.522
STD_SINGER,11.655
STD_SINGER,10.85
STD_SINGER,11.506
STD_SINGER,10.875
STD_SINGER,11.52
STD_SINGER,10.972
STD_SINGER,11.092
STD_SINGER,11.377
STD_SINGER,11.59
STD_SINGER,10.965
STD_SINGER,10.83
STD_SINGER,11.417
STD_SINGER,11.505
STD_SINGER,10.861
STD_SINGER,10.819
STD_SINGER,11.363
STD_SINGER,11.57
STD_SINGER,10.91
STD_SINGER,10.873
STD_SINGER,11.406
STD_SINGER,11.299
STD_SINGER,10.898
STD_SINGER,10.904
STD_SINGER,11.459
STD_SINGER,11.524
STD_SINGER,10.878
STD_SINGER,10.93
STD_SINU,20.807
STD_SINU,19.72
STD_SINU,19.961
STD_SINU,10.794
STD_SINU,10.667
STD_SINU,10.397
STD_SINU,10.342
STD_SINU,10.713
STD_SINU,10.865
STD_SINU,10.451
STD_SINU,10.411
STD_SINU,10.635
STD_SINU,10.792
STD_SINU,10.466
STD_SINU,10.408
STD_SINU,10.69
STD_SINU,10.768
STD_SINU,10.307
STD_SINU,10.418
STD_SINU,10.691
STD_SINU,10.732
STD_SINU,10.384
STD_SINU,10.438
STD_SINU,10.762
STD_SINU,10.77
STD_SINU,10.575
STD_SINU,10.515
STD_SINU,10.792
STD_SINU,10.794
STD_SINU,10.365
STD_SINU,10.404
STD_TENT,22.862
STD_TENT,22.13
STD_TENT,22.2
STD_TENT,12.328
STD_TENT,11.56
STD_TENT,12.272
STD_TENT,11.792
STD_TENT,12.205
STD_TENT,12.514
STD_TENT,11.673
STD_TENT,11.676
STD_TENT,11.613
STD_TENT,11.472
STD_TENT,12.251
STD_TENT,12.394
STD_TENT,12.231
STD_TENT,12.064
STD_TENT,11.552
STD_TENT,11.541
STD_TENT,11.698
STD_TENT,11.545
STD_TENT,12.182
STD_TENT,12.347
STD_TENT,12.26
STD_TENT,12.125
STD_TENT,11.627
STD_TENT,11.673
STD_TENT,11.538
STD_TENT,11.554
STD_TENT,12.126
STD_TENT,12.234
STD_CIRCLE,22.86
STD_CIRCLE,23.393
STD_CIRCLE,22.807
STD_CIRCLE,12.456
STD_CIRCLE,12.618
STD_CIRCLE,11.771
STD_CIRCLE,11.815
STD_CIRCLE,11.806
STD_CIRCLE,11.816
STD_CIRCLE,12.594
STD_CIRCLE,12.558
STD_CIRCLE,12.322
STD_CIRCLE,11.799
STD_CIRCLE,12.502
STD_CIRCLE,11.935
STD_CIRCLE,11.814
STD_CIRCLE,11.828
STD_CIRCLE,12.522
STD_CIRCLE,12.774
STD_CIRCLE,12.384
STD_CIRCLE,11.814
STD_CIRCLE,12.445
STD_CIRCLE,11.951
STD_CIRCLE,11.885
STD_CIRCLE,11.82
STD_CIRCLE,12.567
STD_CIRCLE,12.658
STD_CIRCLE,11.941
STD_CIRCLE,12.312
STD_CIRCLE,11.91
STD_CIRCLE,12.358
COM,22.079
COM,22.193
COM,22.407
COM,11.734
COM,11.795
COM,12.409
COM,12.603
COM,11.789
COM,12.172
COM,11.836
COM,12.255
COM,11.875
COM,11.888
COM,12.343
COM,11.779
COM,12.452
COM,12.385
COM,11.915
COM,12.291
COM,11.72
COM,11.73
COM,12.466
COM,11.767
COM,12.638
COM,11.91
COM,12.509
COM,12.668
COM,11.857
COM,11.741
COM,11.872
COM,12.404
COM_LOG,22.456
COM_LOG,22.87
COM_LOG,22.23
COM_LOG,11.852
COM_LOG,12.512
COM_LOG,12.302
COM_LOG,12.302
COM_LOG,11.721
COM_LOG,11.792
COM_LOG,11.753
COM_LOG,12.206
COM_LOG,11.72
COM_LOG,12.356
COM_LOG,12.414
COM_LOG,12.387
COM_LOG,11.681
COM_LOG,11.831
COM_LOG,11.673
COM_LOG,12.226
COM_LOG,11.65
COM_LOG,12.255
COM_LOG,12.35
COM_LOG,12.414
COM_LOG,11.623
COM_LOG,11.769
COM_LOG,11.617
COM_LOG,11.766
COM_LOG,12.355
COM_LOG,12.232
COM_LOG,12.708
COM_LOG,12.214
COM_PIECE,22.534
